"m";"task";"participant";"angularShift"
"feb";"month";"Sa20";"  2.95685440"
"mar";"month";"Sa20";"  3.01407786"
"apr";"month";"Sa20";"  2.99954272"
"may";"month";"Sa20";"  6.33816268"
"jun";"month";"Sa20";"  0.04957473"
"jul";"month";"Sa20";"  1.74662637"
"aug";"month";"Sa20";" 13.84945701"
"sep";"month";"Sa20";"  8.82654259"
"oct";"month";"Sa20";"  4.30457506"
"nov";"month";"Sa20";"  1.49555158"
"dec";"month";"Sa20";"  0.63912652"
"jan";"crazy";"Sa20";"  8.28840406"
"feb";"crazy";"Sa20";"  4.92308833"
"mar";"crazy";"Sa20";"  7.20468904"
"apr";"crazy";"Sa20";"  5.53528405"
"may";"crazy";"Sa20";"  6.87098292"
"jun";"crazy";"Sa20";"  3.83158156"
"jul";"crazy";"Sa20";"  4.37732055"
"aug";"crazy";"Sa20";"  5.55264345"
"sep";"crazy";"Sa20";"  5.58768926"
"oct";"crazy";"Sa20";"  7.53747005"
"nov";"crazy";"Sa20";"  4.09650440"
"dec";"crazy";"Sa20";"  5.65331933"
"jan";"month";"Sa21";" 26.85946252"
"feb";"month";"Sa21";" 33.10747432"
"mar";"month";"Sa21";" 28.50810886"
"apr";"month";"Sa21";" 29.31699821"
"may";"month";"Sa21";" 33.40912415"
"jun";"month";"Sa21";" 25.76012067"
"jul";"month";"Sa21";" 32.69795934"
"aug";"month";"Sa21";" 32.50712751"
"sep";"month";"Sa21";" 20.84653754"
"oct";"month";"Sa21";" 21.29791284"
"nov";"month";"Sa21";" 26.78193154"
"dec";"month";"Sa21";" 24.57932555"
"jan";"crazy";"Sa21";" 28.27694926"
"feb";"crazy";"Sa21";" 39.66126573"
"mar";"crazy";"Sa21";" 34.50035531"
"apr";"crazy";"Sa21";" 38.20370670"
"may";"crazy";"Sa21";" 22.08476239"
"jun";"crazy";"Sa21";" 19.86679468"
"jul";"crazy";"Sa21";" 17.75443552"
"aug";"crazy";"Sa21";" 32.81868878"
"sep";"crazy";"Sa21";" 50.85989010"
"oct";"crazy";"Sa21";" 50.30521284"
"nov";"crazy";"Sa21";" 24.12957888"
"dec";"crazy";"Sa21";" 21.53039127"
"jan";"month";"Sa22";" 88.50102114"
"feb";"month";"Sa22";" 90.04429671"
"mar";"month";"Sa22";" 50.36222131"
"apr";"month";"Sa22";" 56.96021867"
"may";"month";"Sa22";" 55.85278079"
"jun";"month";"Sa22";" 64.96935018"
"jul";"month";"Sa22";" 26.41213918"
"aug";"month";"Sa22";" 39.69969516"
"sep";"month";"Sa22";" 27.05480285"
"oct";"month";"Sa22";" 37.34728932"
"nov";"month";"Sa22";" 42.16742596"
"dec";"month";"Sa22";" 42.34799932"
"jan";"crazy";"Sa22";" 27.23276612"
"feb";"crazy";"Sa22";" 28.79516399"
"mar";"crazy";"Sa22";" 26.61444045"
"apr";"crazy";"Sa22";" 26.49865996"
"may";"crazy";"Sa22";" 21.49192644"
"jun";"crazy";"Sa22";" 17.46847032"
"jul";"crazy";"Sa22";" 17.34745589"
"aug";"crazy";"Sa22";" 33.57599774"
"sep";"crazy";"Sa22";" 32.91002464"
"oct";"crazy";"Sa22";" 29.46130118"
"nov";"crazy";"Sa22";" 16.77974785"
"dec";"crazy";"Sa22";" 15.68398713"
"jan";"month";"Sa23";" 45.85639110"
"feb";"month";"Sa23";" 52.11730240"
"mar";"month";"Sa23";" 49.05086966"
"apr";"month";"Sa23";" 49.28354243"
"may";"month";"Sa23";" 48.12780001"
"jun";"month";"Sa23";" 47.81448233"
"jul";"month";"Sa23";" 49.47594937"
"aug";"month";"Sa23";" 48.17889909"
"sep";"month";"Sa23";" 42.31104666"
"oct";"month";"Sa23";" 46.03295932"
"nov";"month";"Sa23";" 44.33159906"
"dec";"month";"Sa23";" 57.61847526"
"jan";"crazy";"Sa23";"  3.09643366"
"feb";"crazy";"Sa23";"  8.16570983"
"mar";"crazy";"Sa23";"  8.17173529"
"apr";"crazy";"Sa23";"  8.84976568"
"may";"crazy";"Sa23";" 11.72771537"
"jun";"crazy";"Sa23";" 11.43526499"
"jul";"crazy";"Sa23";"  4.95479210"
"aug";"crazy";"Sa23";"  8.95105379"
"sep";"crazy";"Sa23";"  0.80642373"
"oct";"crazy";"Sa23";"  0.90100479"
"nov";"crazy";"Sa23";"  5.46873112"
"dec";"crazy";"Sa23";"  8.28810928"
"jan";"month";"Sa24";" 29.85530452"
"feb";"month";"Sa24";" 29.05030305"
"mar";"month";"Sa24";" 23.48940561"
"apr";"month";"Sa24";" 24.05804210"
"may";"month";"Sa24";" 30.68667705"
"jun";"month";"Sa24";"  9.30047817"
"jul";"month";"Sa24";" 19.23222120"
"aug";"month";"Sa24";" 26.69930726"
