"condition";"task";"participant";"z";"X";"y"
"tr";"crazy";"Sa25";20.8973965513411;33.5614399740046;18.8927807831268
"hd";"month";"Sa25";74.1738748888794;39.8886772225279;21.0999235922421
"str";"month";"Sa25";82.3277613734324;60.3360655701246;17.21571378371
"tr";"month";"Sa25";37.5251652832322;32.4321672231718;20.3849894004487
"hd";"month";"Sa26";15.3185748914575;14.3804673999462;14.9348025048389
"str";"month";"Sa26";14.9992702694936;14.1572856136623;12.6939967795372
"tr";"month";"Sa26";15.2114391687727;13.3024723619753;12.3082490487327
"hd";"month";"Sa4";16.0782746240895;9.86733808505674;9.10783294785325
"str";"month";"Sa4";6.1828084053935;25.3460281369715;6.14573843288855
"tr";"month";"Sa4";12.5794561061607;15.5088956483293;8.63602464224641
"hd";"month";"Sa5";19.1949669547819;27.4255550120908;14.8535122788099
"str";"month";"Sa5";18.2298550707564;9.04784405450966;16.4192450620753
"tr";"month";"Sa5";24.4513285814208;24.7251446013781;11.8730562112441
"hd";"crazy";"Sa6";23.5935823724744;20.9333132796517;19.7588324463322
"str";"crazy";"Sa6";16.8954942938026;18.13887760165;15.2853843657055
"tr";"crazy";"Sa6";15.694207035838;9.1145425992509;21.0403771456426
"hd";"month";"Sa6";19.6000030099771;14.7407403675903;15.2012752920971
"str";"month";"Sa6";23.4520984102743;20.9930736198167;15.1673943078336
"tr";"month";"Sa6";37.0571026458376;23.0532683549847;21.6506634966639
"hd";"crazy";"Sa7";11.6640570183045;10.7357112908475;11.779325091282
"str";"crazy";"Sa7";11.4786747575176;7.33907561915254;8.03131044782454
"tr";"crazy";"Sa7";12.7145223032176;8.47987171515804;12.9431111837819
"hd";"month";"Sa7";16.7779565722559;12.1727164473309;14.1374797678029
"str";"month";"Sa7";20.2519189301665;26.2486140263442;58.8437052630662
"tr";"month";"Sa7";17.7875453825822;24.3603599183124;14.8100811223031
"hd";"crazy";"Sa8";19.5613321311916;22.0804777970584;17.5344243854937
"str";"crazy";"Sa8";16.2381010075187;14.2483565588907;19.2313093647951
"tr";"crazy";"Sa8";34.1246409897337;31.0348906843261;22.0188760011998
"hd";"crazy";"Sa9";50.450142694969;39.4734077775977;21.584849567773
"str";"crazy";"Sa9";31.1942078760055;36.1443353263995;52.5342353047132
"tr";"crazy";"Sa9";27.9581863956474;29.2616602214449;15.6295264106454
"hd";"month";"Sa9";13.7110784280893;15.2070352039186;16.0586512652327
"str";"month";"Sa9";13.5987110815408;7.27327220323161;11.8329913552435
"tr";"month";"Sa9";6.9896113143211;19.290247312075;12.5804054372789
