"m";"task";"participant";"angularShift"
"jun";"month";"Sa20";-0.021059386
"jul";"month";"Sa20";2.007328159
"aug";"month";"Sa20";-9.394159215
"sep";"month";"Sa20";8.52671178
"oct";"month";"Sa20";4.014253048
"nov";"month";"Sa20";1.274027348
"dec";"month";"Sa20";0.487418969
"jan";"crazy";"Sa20";7.776003636
"feb";"crazy";"Sa20";4.561217488
"mar";"crazy";"Sa20";6.68866059
"apr";"crazy";"Sa20";5.206245071
"may";"crazy";"Sa20";6.378620198
"jun";"crazy";"Sa20";3.146234182
"jul";"crazy";"Sa20";3.882804821
"aug";"crazy";"Sa20";5.537935248
"sep";"crazy";"Sa20";5.771111841
"oct";"crazy";"Sa20";8.085555251
"nov";"crazy";"Sa20";3.688361451
"dec";"crazy";"Sa20";5.00341141
"jan";"month";"Sa21";23.286710036
"feb";"month";"Sa21";28.450738821
"mar";"month";"Sa21";24.131128073
"apr";"month";"Sa21";24.572533962
"may";"month";"Sa21";28.757849046
"jun";"month";"Sa21";22.314916079
"jul";"month";"Sa21";28.915194438
"aug";"month";"Sa21";28.838812438
"sep";"month";"Sa21";18.189730301
"oct";"month";"Sa21";18.500030534
"nov";"month";"Sa21";23.572223013
"dec";"month";"Sa21";21.602859789
"jan";"crazy";"Sa21";22.895056016
"feb";"crazy";"Sa21";29.950023524
"mar";"crazy";"Sa21";27.832413186
"apr";"crazy";"Sa21";31.461436784
"may";"crazy";"Sa21";18.551287345
"jun";"crazy";"Sa21";16.498882965
"jul";"crazy";"Sa21";15.207677174
"aug";"crazy";"Sa21";26.768028149
"sep";"crazy";"Sa21";49.204393703
"oct";"crazy";"Sa21";46.418085852
"nov";"crazy";"Sa21";21.306322967
"dec";"crazy";"Sa21";17.818813765
"jan";"month";"Sa22";93.364372967
"feb";"month";"Sa22";95.465048512
"mar";"month";"Sa22";-50.750218358
"apr";"month";"Sa22";58.294129693
"may";"month";"Sa22";57.573643761
"jun";"month";"Sa22";60.203618991
"jul";"month";"Sa22";24.507928236
"aug";"month";"Sa22";37.452529793
"sep";"month";"Sa22";25.656420571
"oct";"month";"Sa22";35.735067579
"nov";"month";"Sa22";40.157245617
"dec";"month";"Sa22";40.074470055
"jan";"crazy";"Sa22";25.594837211
"feb";"crazy";"Sa22";27.541985539
"mar";"crazy";"Sa22";25.53598247
"apr";"crazy";"Sa22";25.700066169
"may";"crazy";"Sa22";20.601675393
"jun";"crazy";"Sa22";16.709402068
"jul";"crazy";"Sa22";16.630711897
"aug";"crazy";"Sa22";32.881978829
"sep";"crazy";"Sa22";32.716102862
"oct";"crazy";"Sa22";29.033539118
"nov";"crazy";"Sa22";16.145476553
"dec";"crazy";"Sa22";15.073955549
"jan";"month";"Sa23";45.288204156
"feb";"month";"Sa23";50.763434635
"mar";"month";"Sa23";47.309128558
"apr";"month";"Sa23";48.117817634
"may";"month";"Sa23";46.346949389
"jun";"month";"Sa23";47.328517492
"jul";"month";"Sa23";50.295317138
"aug";"month";"Sa23";50.906659146
"sep";"month";"Sa23";44.268905425
"oct";"month";"Sa23";48.090069614
"nov";"month";"Sa23";46.421225472
"dec";"month";"Sa23";60.369883359
"jan";"crazy";"Sa23";3.122540046
"feb";"crazy";"Sa23";8.282706065
"mar";"crazy";"Sa23";8.201450008
