"m";"condition";"task";"participant";"z";"X";"y"
"dec";"tr";"crazy";"Co4";1848;-200.46775;-145.524025
"feb";"tr";"crazy";"Co4";1777;-72.514495;265.38521
"jan";"tr";"crazy";"Co4";1727.5;-151.4738;314.250665
"jul";"tr";"crazy";"Co4";1926;-346.383345;83.398175
"jun";"tr";"crazy";"Co4";1838;-219.330585;167.90698
"mar";"tr";"crazy";"Co4";1768;-69.2669545;213.28
"may";"tr";"crazy";"Co4";1786;-316.992015;223.60189
"nov";"tr";"crazy";"Co4";1843;-339.50354;-116.85077
"oct";"tr";"crazy";"Co4";1768;79.963092;-165.19961
"sep";"tr";"crazy";"Co4";1800;187.080695;46.6121115
"apr";"hd";"month";"Co4";1853;-292.9244;64.429425
"aug";"hd";"month";"Co4";2015;8.448048;-14.03056615
"dec";"hd";"month";"Co4";1685.5;83.4372925;208.000555
"feb";"hd";"month";"Co4";1741.5;-243.693395;127.0441
"jan";"hd";"month";"Co4";1681.5;-188.866835;200.618835
"jul";"hd";"month";"Co4";1980;-201.201485;3.4385475
"jun";"hd";"month";"Co4";1997.5;-190.8805;-10.095283
"mar";"hd";"month";"Co4";1864.5;-307.699115;56.53715
"may";"hd";"month";"Co4";1909.5;-283.4153;39.8225955
"nov";"hd";"month";"Co4";1777;174.62705;120.387445
"oct";"hd";"month";"Co4";1853;175.597885;87.755465
"sep";"hd";"month";"Co4";1958;168.507045;51.4374105
"apr";"str";"month";"Co4";1828.5;-334.90833;47.6601635
"aug";"str";"month";"Co4";2039;-46.054634;-35.43149
"dec";"str";"month";"Co4";1685.5;29.58411575;163.975195
"feb";"str";"month";"Co4";1723.5;-343.22698;145.448425
"jan";"str";"month";"Co4";1618;-242.65575;207.736575
"jul";"str";"month";"Co4";1974.5;-223.509;-41.2632075
"jun";"str";"month";"Co4";1963.5;-260.618055;-28.6046815
"mar";"str";"month";"Co4";1863;-360.7482;29.4946265
"may";"str";"month";"Co4";1914.5;-341.66223;49.836205
"nov";"str";"month";"Co4";1772.5;128.117415;61.875658
"oct";"str";"month";"Co4";1843.5;154.585035;90.38564
"sep";"str";"month";"Co4";1936.5;137.941705;66.5273165
"apr";"tr";"month";"Co4";1823.5;-339.18053;74.444795
"aug";"tr";"month";"Co4";2027;-70.9254665;-17.51779
"dec";"tr";"month";"Co4";1745.5;33.406532;257.25846
"feb";"tr";"month";"Co4";1702;-327.25222;166.70086
"jan";"tr";"month";"Co4";1673;-277.360435;207.275475
"jul";"tr";"month";"Co4";1942;-225.43669;-3.4490659
"jun";"tr";"month";"Co4";1904;-236.446265;-0.395116
"mar";"tr";"month";"Co4";1814;-326.8632;64.36085
"may";"tr";"month";"Co4";1809;-360.898425;95.8318225
"nov";"tr";"month";"Co4";1795;59.291525;144.21277
"oct";"tr";"month";"Co4";1781.5;82.124348;119.604205
"sep";"tr";"month";"Co4";1905;100.238702;65.74495
"apr";"hd";"crazy";"Co5";1637.5;-108.05798;146.65625
"aug";"hd";"crazy";"Co5";1614.5;-90.6157645;132.573615
"dec";"hd";"crazy";"Co5";1607;-136.76422;89.09877
"feb";"hd";"crazy";"Co5";1661;-126.016862;231.92747
"jan";"hd";"crazy";"Co5";1685.5;-170.602295;226.373605
"jul";"hd";"crazy";"Co5";1637.5;-170.414745;147.192895
"jun";"hd";"crazy";"Co5";1641;-162.44258;162.94793
"mar";"hd";"crazy";"Co5";1653;-116.23247;170.8593
"may";"hd";"crazy";"Co5";1657;-175.495365;187.047645
"nov";"hd";"crazy";"Co5";1614.5;-169.62284;116.061402
"oct";"hd";"crazy";"Co5";1630;-72.525785;120.545465
"sep";"hd";"crazy";"Co5";1645;-57.02779;151.779435
"apr";"str";"crazy";"Co5";1622;-107.0620325;135.191655
"aug";"str";"crazy";"Co5";1626;-127.0719;124.2480375
"dec";"str";"crazy";"Co5";1581;-146.893335;74.32062
"feb";"str";"crazy";"Co5";1653;-137.93386;202.348555
"jan";"str";"crazy";"Co5";1653;-170.20896;224.393815
"jul";"str";"crazy";"Co5";1634;-179.171035;135.07096
"jun";"str";"crazy";"Co5";1611;-153.877345;156.27913
"mar";"str";"crazy";"Co5";1641;-125.991675;163.26226
"may";"str";"crazy";"Co5";1607;-192.190815;153.11058
"nov";"str";"crazy";"Co5";1626;-189.1959;112.95277
"oct";"str";"crazy";"Co5";1599.5;-91.218395;100.219545
"sep";"str";"crazy";"Co5";1618.5;-64.448575;154.25157
"apr";"tr";"crazy";"Co5";1577.5;-233.09713;150.34321
"aug";"tr";"crazy";"Co5";1560;-229.42581;117.68607
"dec";"tr";"crazy";"Co5";1560;-277.63221;106.111175
"feb";"tr";"crazy";"Co5";1596;-275.804375;202.76708
"jan";"tr";"crazy";"Co5";1596;-313.19218;221.749745
"jul";"tr";"crazy";"Co5";1560;-310.14257;146.321085
"jun";"tr";"crazy";"Co5";1577.5;-289.017775;154.78994
"mar";"tr";"crazy";"Co5";1588.5;-243.82364;181.577145
"may";"tr";"crazy";"Co5";1567;-300.709885;183.69155
"nov";"tr";"crazy";"Co5";1553;-298.625885;129.71942
"oct";"tr";"crazy";"Co5";1592.5;-227.779425;132.44251
"sep";"tr";"crazy";"Co5";1596;-210.17659;161.106185
"apr";"hd";"month";"Co5";1706.5;-78.20558;116.9280025
"aug";"hd";"month";"Co5";1681.5;-162.033585;172.75663
"dec";"hd";"month";"Co5";1719;-152.649505;199.55166
"feb";"hd";"month";"Co5";1685.5;-88.5500275;197.586625
"jan";"hd";"month";"Co5";1728;-112.893757;206.76056
"jul";"hd";"month";"Co5";1685.5;-162.710015;120.648803
"jun";"hd";"month";"Co5";1673.5;-112.059267;111.76576
"mar";"hd";"month";"Co5";1711;-74.1296225;174.646105
"may";"hd";"month";"Co5";1673;-77.760978;123.93978
"nov";"hd";"month";"Co5";1689.5;-171.607855;196.64361
"oct";"hd";"month";"Co5";1711;-163.72165;186.596985
"sep";"hd";"month";"Co5";1698;-168.6607;154.663165
"apr";"str";"month";"Co5";1702;-112.0063125;142.59246
"aug";"str";"month";"Co5";1715;-178.249725;135.35576
"dec";"str";"month";"Co5";1719;-181.628425;206.08586
"feb";"str";"month";"Co5";1723;-132.386085;194.046435
"jan";"str";"month";"Co5";1723;-165.564235;227.412995
"jul";"str";"month";"Co5";1706.5;-165.077095;138.145705
"jun";"str";"month";"Co5";1690;-139.41091;128.786815
"mar";"str";"month";"Co5";1723;-98.257968;175.732405
"may";"str";"month";"Co5";1698;-117.09388;143.7621
"nov";"str";"month";"Co5";1727.5;-177.028835;195.53562
"oct";"str";"month";"Co5";1727.5;-195.029375;186.95126
"sep";"str";"month";"Co5";1702;-207.887685;164.75406
"apr";"tr";"month";"Co5";1645.5;-193.97696;167.973855
"aug";"tr";"month";"Co5";1618;-302.110515;159.82279
"dec";"tr";"month";"Co5";1641.5;-283.65497;219.95228
"feb";"tr";"month";"Co5";1661;-225.03377;188.17387
"jan";"tr";"month";"Co5";1645.5;-265.348755;189.38608
"jul";"tr";"month";"Co5";1618;-300.7924;137.68639
"jun";"tr";"month";"Co5";1626;-263.06068;129.2574675
"mar";"tr";"month";"Co5";1661;-225.040745;173.894985
"may";"tr";"month";"Co5";1657;-227.33485;132.37216
"nov";"tr";"month";"Co5";1653;-288.49591;190.976865
"oct";"tr";"month";"Co5";1622;-307.79811;176.256875
"sep";"tr";"month";"Co5";1626;-281.392945;157.521715
"apr";"hd";"crazy";"Co6";1926;50.617789;198.91951
"aug";"hd";"crazy";"Co6";1732;165.00592;20.0141985
"dec";"hd";"crazy";"Co6";1800.5;-193.83455;-223.528165
"feb";"hd";"crazy";"Co6";2027;-107.592585;445.672075
"jan";"hd";"crazy";"Co6";2114;-190.167585;521.30387
"jul";"hd";"crazy";"Co6";1963.5;-386.07835;47.605459
"jun";"hd";"crazy";"Co6";2021;-251.66729;139.00534
"mar";"hd";"crazy";"Co6";1947;-124.763857;331.920385
"may";"hd";"crazy";"Co6";1952.5;-315.434225;277.132035
"nov";"hd";"crazy";"Co6";1805;-366.823935;-191.743715
