"m";"condition";"task";"participant";"z";"X";"y"
"aug";"str";"crazy";"Co4";1769.25;-108.952786;-20.256092
"dec";"str";"crazy";"Co4";1859;-194.8947925;-172.63168
"feb";"str";"crazy";"Co4";1759;-127.8325625;258.20843
"jan";"str";"crazy";"Co4";1730;-228.4953825;309.5512525
"jul";"str";"crazy";"Co4";2042.25;-318.18509;33.5866545
"jun";"str";"crazy";"Co4";1878.75;-220.7572375;190.6308375
"mar";"str";"crazy";"Co4";1765.75;-127.0084955;172.27773
"may";"str";"crazy";"Co4";1878.75;-340.1847575;211.9822775
"nov";"str";"crazy";"Co4";1923.5;-339.4336375;-165.06933
"oct";"str";"crazy";"Co4";1697.25;46.839229;-145.63735375
"sep";"str";"crazy";"Co4";1683;138.863886;-0.39686075
"apr";"tr";"crazy";"Co4";1811.25;-45.3521295;104.837757
"aug";"tr";"crazy";"Co4";1782;-53.11986785;-16.9134465
"dec";"tr";"crazy";"Co4";1845.75;-199.566425;-142.7866075
"feb";"tr";"crazy";"Co4";1788.75;-81.941129;268.993575
"jan";"tr";"crazy";"Co4";1732.25;-150.397921;317.4509075
"jul";"tr";"crazy";"Co4";1915.75;-347.9580825;81.0905675
"jun";"tr";"crazy";"Co4";1843.25;-223.11998;175.954255
"mar";"tr";"crazy";"Co4";1763.75;-71.18943625;206.091065
"may";"tr";"crazy";"Co4";1796;-319.7268275;224.616095
"nov";"tr";"crazy";"Co4";1835.75;-337.0192425;-111.5231175
"oct";"tr";"crazy";"Co4";1775;67.482549075;-131.25384
"sep";"tr";"crazy";"Co4";1802.5;177.1526325;43.32415875
"apr";"hd";"month";"Co4";1853.25;-303.5706125;61.9512025
"aug";"hd";"month";"Co4";2018.75;-5.025031;-10.145200575
"dec";"hd";"month";"Co4";1701.25;78.16044575;209.04124
"feb";"hd";"month";"Co4";1756;-222.10881;134.6181185
"jan";"hd";"month";"Co4";1679.5;-198.21141;200.4039225
"jul";"hd";"month";"Co4";1972.5;-177.91062;8.06677125
"jun";"hd";"month";"Co4";1986.25;-195.199595;-10.2893555
"mar";"hd";"month";"Co4";1839.75;-302.3432325;50.36372925
"may";"hd";"month";"Co4";1882.5;-290.656325;46.33595735
"nov";"hd";"month";"Co4";1770.25;161.4413925;127.1139825
"oct";"hd";"month";"Co4";1850.75;162.9840475;86.67135
"sep";"hd";"month";"Co4";1945.5;165.1431275;52.841939
"apr";"str";"month";"Co4";1824.25;-338.345195;45.4654538
"aug";"str";"month";"Co4";2024.5;-49.813217;-31.42934525
"dec";"str";"month";"Co4";1679.5;13.080143625;163.5618625
"feb";"str";"month";"Co4";1700;-338.3769025;148.20233
"jan";"str";"month";"Co4";1630;-247.7745725;185.3561425
"jul";"str";"month";"Co4";1948;-230.5763575;-31.02817275
"jun";"str";"month";"Co4";1955.5;-262.2796025;-29.72351625
"mar";"str";"month";"Co4";1868.25;-345.00097;27.688928725
"may";"str";"month";"Co4";1899.25;-336.0645225;45.90048825
"nov";"str";"month";"Co4";1779.75;142.87038;84.57258725
"oct";"str";"month";"Co4";1843.5;142.004225;83.069941
"sep";"str";"month";"Co4";1920.75;131.46267;72.70767075
"apr";"tr";"month";"Co4";1817;-324.1753;71.9196725
"aug";"tr";"month";"Co4";2021.5;-73.25476325;-16.04683475
"dec";"tr";"month";"Co4";1743.5;30.47330425;240.5430525
"feb";"tr";"month";"Co4";1702.25;-322.055255;154.1269625
"jan";"tr";"month";"Co4";1667.5;-274.2183625;201.6608325
"jul";"tr";"month";"Co4";1939.75;-223.0939175;-9.909024525
"jun";"tr";"month";"Co4";1902.5;-218.7301025;9.01327775
"mar";"tr";"month";"Co4";1808.66666666667;-327.533583333333;70.744251
"may";"tr";"month";"Co4";1812.5;-355.752675;93.17298875
"nov";"tr";"month";"Co4";1778;47.479596;150.753919
"oct";"tr";"month";"Co4";1796.25;92.422363;120.210735
"sep";"tr";"month";"Co4";1900.25;89.5942245;65.76275
"apr";"hd";"crazy";"Co5";1635.75;-104.56815;149.156625
"aug";"hd";"crazy";"Co5";1610.75;-92.93378975;134.99323125
"dec";"hd";"crazy";"Co5";1605.25;-140.8310635;93.37141
"feb";"hd";"crazy";"Co5";1659.25;-122.479716;228.4523925
"jan";"hd";"crazy";"Co5";1681.5;-168.7913975;233.6528475
"jul";"hd";"crazy";"Co5";1639.5;-173.691405;154.56374
"jun";"hd";"crazy";"Co5";1643.25;-162.0257775;159.8453775
"mar";"hd";"crazy";"Co5";1653;-120.4760325;173.132165
"may";"hd";"crazy";"Co5";1655.25;-174.0665225;184.87551
"nov";"hd";"crazy";"Co5";1602.25;-181.7243525;110.95213225
"oct";"hd";"crazy";"Co5";1626;-75.56668725;126.407591
"sep";"hd";"crazy";"Co5";1645.25;-55.03495675;160.0385875
"apr";"str";"crazy";"Co5";1622.25;-109.2463175;133.0724875
"aug";"str";"crazy";"Co5";1618.5;-127.074495;124.99568125
"dec";"str";"crazy";"Co5";1583;-142.9346075;83.836685
"feb";"str";"crazy";"Co5";1649.25;-140.3730125;206.1670575
"jan";"str";"crazy";"Co5";1643.5;-171.22925;218.2251725
"jul";"str";"crazy";"Co5";1624.5;-175.04168;135.3536025
"jun";"str";"crazy";"Co5";1614.75;-159.0803925;154.1686475
"mar";"str";"crazy";"Co5";1643.25;-131.22859;168.3910775
"may";"str";"crazy";"Co5";1607.25;-193.291425;155.5336625
"nov";"str";"crazy";"Co5";1609.5;-192.6657825;104.6610525
"oct";"str";"crazy";"Co5";1595.75;-90.7529785;100.478731
"sep";"str";"crazy";"Co5";1618.5;-70.3436825;154.53378
"apr";"tr";"crazy";"Co5";1583;-236.42545;149.86823
"aug";"tr";"crazy";"Co5";1561.75;-234.67705;117.4251325
"dec";"tr";"crazy";"Co5";1553.25;-268.5828725;97.66012
"feb";"tr";"crazy";"Co5";1594;-270.5678775;198.663345
"jan";"tr";"crazy";"Co5";1598;-312.86265;224.86705
"jul";"tr";"crazy";"Co5";1560;-303.342235;151.769885
"jun";"tr";"crazy";"Co5";1579.5;-290.0428575;155.68432
"mar";"tr";"crazy";"Co5";1586.75;-247.3321425;183.8391475
"may";"tr";"crazy";"Co5";1572.5;-301.032485;183.7084775
"nov";"tr";"crazy";"Co5";1554.75;-298.38494;128.240216
"oct";"tr";"crazy";"Co5";1590.5;-232.622135;133.99161625
"sep";"tr";"crazy";"Co5";1596;-211.31932;164.2000675
"apr";"hd";"month";"Co5";1700.75;-79.8006945;132.61314625
"aug";"hd";"month";"Co5";1681.75;-171.299575;178.1546225
"dec";"hd";"month";"Co5";1721.5;-153.1687675;215.083535
"feb";"hd";"month";"Co5";1692;-85.97324125;208.394335
"jan";"hd";"month";"Co5";1718;-123.81044225;214.0393675
"jul";"hd";"month";"Co5";1680;-158.6575025;128.9700455
"jun";"hd";"month";"Co5";1670.25;-122.3368685;108.6701475
"mar";"hd";"month";"Co5";1703;-73.9780775;186.1063775
"may";"hd";"month";"Co5";1667.5;-78.812968;136.7529075
"nov";"hd";"month";"Co5";1698;-178.1403175;192.936255
"oct";"hd";"month";"Co5";1705;-169.4087875;189.6148825
"sep";"hd";"month";"Co5";1690.75;-172.557355;158.032295
"apr";"str";"month";"Co5";1706.5;-109.70869875;142.225155
"aug";"str";"month";"Co5";1713;-184.521695;139.0071025
"dec";"str";"month";"Co5";1723.5;-180.2264875;209.514905
"feb";"str";"month";"Co5";1727.75;-130.52698;196.5771875
"jan";"str";"month";"Co5";1734.5;-160.4180475;225.450125
"jul";"str";"month";"Co5";1708.75;-163.2219;134.235615
"jun";"str";"month";"Co5";1696;-139.9879025;128.1399075
"mar";"str";"month";"Co5";1727.75;-96.7106065;178.6817025
