"m","z","X","y","outlier","condition","task","type","participant","rounds"
"oct",1915,-415.71457,156.30862,0,"hd","mini","control","Co7","both"
"jan",1863,171.4767,378.54294,0,"hd","mini","control","Co7","both"
"nov",1894,-374.9741,292.7429,0,"hd","mini","control","Co7","both"
"may",1795,196.39093,-308.61435,0,"hd","mini","control","Co7","both"
"sep",1958,-421.64874,64.607414,0,"hd","mini","control","Co7","both"
"jun",1873,42.28607,-341.54163,0,"hd","mini","control","Co7","both"
"aug",1936,-406.8246,-47.070663,0,"str","mini","control","Co7","both"
"may",1759,189.39742,-180.23305,0,"str","mini","control","Co7","both"
"dec",1992,-283.67404,390.9167,0,"str","mini","control","Co7","both"
"oct",1980,-374.80737,165.05273,0,"str","mini","control","Co7","both"
"apr",1795,236.91614,-102.87148,0,"str","mini","control","Co7","both"
"jul",1883,-323.74417,-235.45038,0,"str","mini","control","Co7","both"
"mar",1936,221.90439,265.61273,0,"str","mini","control","Co7","both"
"jan",1936,0,440.44647,0,"str","mini","control","Co7","both"
"sep",2003,-400.03247,3.47849,0,"str","mini","control","Co7","both"
"feb",1915,152.98305,389.1088,0,"str","mini","control","Co7","both"
"jun",1863,45.295788,-378.54303,0,"str","mini","control","Co7","both"
"nov",1947,-321.22253,368.56058,0,"str","mini","control","Co7","both"
"apr",1804,260.03455,-65.791954,0,"eyes","mini","control","Co7","both"
"jan",1958,44.205086,465.85388,0,"eyes","mini","control","Co7","both"
"jul",1958,-275.43185,-95.21102,0,"eyes","mini","control","Co7","both"
"may",1814,229.97284,-179.56792,0,"eyes","mini","control","Co7","both"
"aug",1980,-357.61438,-75.64922,0,"eyes","mini","control","Co7","both"
"dec",2003,-274.8049,413.9466,0,"eyes","mini","control","Co7","both"
"feb",1873,159.38611,282.99152,0,"eyes","mini","control","Co7","both"
"sep",1958,-343.43973,37.40429,0,"eyes","mini","control","Co7","both"
"jun",1795,59.229065,-352.25684,0,"eyes","mini","control","Co7","both"
"oct",1992,-342.48453,245.6202,0,"eyes","mini","control","Co7","both"
"mar",1936,205.09346,279.06146,0,"eyes","mini","control","Co7","both"
"nov",2027,-302.73923,366.10318,0,"eyes","mini","control","Co7","both"
"jan",1492,-217.65294,329.07053,0,"tr","mini","control","Co8","both"
"may",1486,-167.74463,270.9721,0,"tr","mini","control","Co8","both"
"mar",1519,-184.65976,324.47357,0,"tr","mini","control","Co8","both"
"sep",1449,-296.93872,279.3237,0,"tr","mini","control","Co8","both"
"feb",1525,-169.49866,346.9426,0,"tr","mini","control","Co8","both"
"oct",1546,-265.80377,322.1864,0,"tr","mini","control","Co8","both"
"aug",1473,-266.04343,212.3231,0,"tr","mini","control","Co8","both"
"nov",1512,-265.20984,341.35916,0,"tr","mini","control","Co8","both"
"jun",1539,-195.10927,189.7638,0,"tr","mini","control","Co8","both"
"dec",1546,-249.69443,373.19922,0,"tr","mini","control","Co8","both"
"jul",1492,-222.83517,189.15076,0,"tr","mini","control","Co8","both"
"apr",1553,-153.73143,272.40134,0,"tr","mini","control","Co8","both"
"dec",1715,-276.98962,348.4708,0,"hd","mini","control","Co8","both"
"jul",1665,-225.54088,205.30002,0,"hd","mini","control","Co8","both"
"mar",1768,-141.23964,273.2679,0,"hd","mini","control","Co8","both"
"aug",1657,-241.72314,204.31358,0,"hd","mini","control","Co8","both"
"apr",1732,-147.3874,243.64041,0,"hd","mini","control","Co8","both"
"feb",1795,-202.62558,346.02213,0,"hd","mini","control","Co8","both"
"oct",1723,-290.2508,293.24307,0,"hd","mini","control","Co8","both"
"jan",1804,-219.30626,366.55472,0,"hd","mini","control","Co8","both"
"nov",1768,-273.26794,346.9582,0,"hd","mini","control","Co8","both"
"may",1741,-126.9885,257.00058,0,"hd","mini","control","Co8","both"
"sep",1741,-269.09476,250.95352,0,"hd","mini","control","Co8","both"
"jun",1715,-193.59491,217.42194,0,"hd","mini","control","Co8","both"
"aug",1690,-231.86235,190.77281,0,"str","mini","control","Co8","both"
"may",1723,-140.63696,248.35893,0,"str","mini","control","Co8","both"
"dec",1795,-196.39093,308.61432,0,"str","mini","control","Co8","both"
"oct",1786,-226.4231,266.74503,0,"str","mini","control","Co8","both"
"apr",1786,-114.76237,232.62645,0,"str","mini","control","Co8","both"
"jul",1759,-201.6166,174.12337,0,"str","mini","control","Co8","both"
"mar",1814,-135.46344,248.87474,0,"str","mini","control","Co8","both"
"jan",1814,-198.46971,299.27975,0,"str","mini","control","Co8","both"
"sep",1768,-260.98627,242.56369,0,"str","mini","control","Co8","both"
"feb",1833,-152.79886,270.58133,0,"str","mini","control","Co8","both"
"jun",1786,-161.28767,114.76238,0,"str","mini","control","Co8","both"
"nov",1853,-244.5713,273.53366,0,"str","mini","control","Co8","both"
"apr",1804,-109.65313,216.1733,0,"eyes","mini","control","Co8","both"
"jan",1795,-165.21776,289.91043,0,"eyes","mini","control","Co8","both"
"jul",1732,-186.49017,141.37157,0,"eyes","mini","control","Co8","both"
"may",1777,-89.49563,182.0773,0,"eyes","mini","control","Co8","both"
"dec",1786,-161.28767,269.8467,0,"eyes","mini","control","Co8","both"
"feb",1843,-105.62231,246.45209,0,"eyes","mini","control","Co8","both"
"sep",1723,-209.45937,188.51341,0,"eyes","mini","control","Co8","both"
"jun",1814,-129.16286,154.36534,0,"eyes","mini","control","Co8","both"
"oct",1750,-218.81996,246.17249,0,"eyes","mini","control","Co8","both"
"mar",1843,-108.82299,220.84666,0,"eyes","mini","control","Co8","both"
"nov",1824,-190.06079,262.91742,0,"eyes","mini","control","Co8","both"
"jan",1641,-356.23373,168.14229,0,"tr","mini","control","Co9","both"
"may",1833,-477.4965,98.682556,0,"tr","mini","control","Co9","both"
"mar",1698,-454.12442,132.69865,0,"tr","mini","control","Co9","both"
"sep",1947,-30.431597,54.100586,0,"tr","mini","control","Co9","both"
"feb",1657,-414.38254,175.537,0,"tr","mini","control","Co9","both"
"oct",1873,78.06669,42.286057,0,"tr","mini","control","Co9","both"
"aug",2003,-170.44861,73.049385,0,"tr","mini","control","Co9","both"
"nov",1715,26.805494,142.96234,0,"tr","mini","control","Co9","both"
"jun",2015,-307.9457,45.49194,0,"tr","mini","control","Co9","both"
"dec",1649,-137.46062,203.32716,0,"tr","mini","control","Co9","both"
"jul",2027,-221.77403,56.323517,0,"tr","mini","control","Co9","both"
"apr",1804,-476.20786,115.91901,0,"tr","mini","control","Co9","both"
"dec",1626,-53.65257,-121.42426,0,"hd","mini","control","Co9","both"
"jul",1947,-155.53935,-213.0213,0,"hd","mini","control","Co9","both"
"mar",1690,-513.61914,-143.81343,0,"hd","mini","control","Co9","both"
"aug",1992,-58.81044,-204.10701,0,"hd","mini","control","Co9","both"
"apr",1873,-445.63037,-29.275007,0,"hd","mini","control","Co9","both"
"feb",1665,-404.817,-54.93952,0,"hd","mini","control","Co9","both"
"oct",1883,26.161121,-120.99532,0,"hd","mini","control","Co9","both"
"jan",1673,-398.0457,-43.58165,0,"hd","mini","control","Co9","both"
"nov",1795,-3.1173284,-52.994465,0,"hd","mini","control","Co9","both"
"may",1883,-405.49774,-16.350748,0,"hd","mini","control","Co9","both"
"sep",1969,75.22895,-64.97052,0,"hd","mini","control","Co9","both"
"jun",2003,-125.22757,-59.13533,0,"hd","mini","control","Co9","both"
"aug",2076,3.6054025,25.237215,0,"str","mini","control","Co9","both"
"may",2003,-361.7685,62.61372,0,"str","mini","control","Co9","both"
"dec",1750,-21.274132,154.99748,0,"str","mini","control","Co9","both"
"oct",1925,33.430832,90.26321,0,"str","mini","control","Co9","both"
"apr",1873,-426.11374,55.29715,0,"str","mini","control","Co9","both"
"jul",2051,-124.66661,46.3047,0,"str","mini","control","Co9","both"
"mar",1741,-420.27158,111.870834,0,"str","mini","control","Co9","both"
"jan",1611,-299.36136,120.30407,0,"str","mini","control","Co9","both"
